Session,paperID,authors,title,keywords,Language,Topics,Type,,Time Zone,
1,108,"Griffin, Dori",Emergence and Negotiation in and around Digital Image Archives,"design, pedagogy, critical making, digital archives",English,"English, Europe, North America, 19th Century, Contemporary, 3d printing, critical making, digital ecologies and digital communities, creation, management, and analysis, Book and Print history, Cultural studies, Design studies, Education/Pedagogy, Feminist studies, History, digital storytelling, Critical making, Digital media, art, literature, history, music, film, and games, Digital public humanities, Multimodal scholarship, Use of digital technologies to write, publish, and review scholarship",Creative Presentation,,?,
1,126,"Szydlowski, Nick",Digital Gleaning: Agnès Varda and the Relationship of the Digital Humanities to Industry,minimal computing; digital gleaning; humanities infrastructure;,English,"English, Experimental Humanities, Labor, Infrastructure, and Critical University Studies, North America, Contemporary, physical & minimal computing, software development, systems, analysis, and methods, Film and cinema arts studies, Informatics, Library and Information Science, Media studies, digital humanities and/in libraries, Critical making, Digital humanities tools and infrastructures, Digital librarianship, Digital public humanities, Humanities knowledge infrastructures, Resource creation, curation, and engagement",Creative Presentation,,"Pacific, California",
1,149,"Wang, Yiwei",Network mapping of the Epstein Files: applying DH methods to contemporary legal documents,"Epstein, NER, NLP, topic modeling, data visualization",English,"English, North America, Global, Contemporary, machine learning and natural language processing, text mining and analysis, digital storytelling, Data science/data studies, Science, Technology, and Society, Digital humanities tools and infrastructures, Digital public humanities, Humanistic and ethical approaches to data science and data visualization, Humanistic research on digital objects and cultures, Machine learning, including AI and LLMs and their implications",Creative Presentation,,Central European Summer Time(GMT+2),June 25th
1,156,"Nandi, Simanta",E-mergency of Memory: Archiving Grief in the Age of Platform Precarity,"Digital Mourning, Digital Preservation, Memory Studies, Platform Studies, Cultural Heritage",English,"English, Experimental Humanities, Asia, 20th Century, Contemporary, cultural analytics, database creation, management, and analysis, digital archiving and preservation, Cognitive Sciences and psychology, Communication studies, Cultural studies, Informatics, Data science/data studies, Collaborations for Community, Critical making, Digital cultural heritage, Digital media, art, literature, history, music, film, and games, Digital public humanities, Humanistic research on digital objects and cultures",Creative Presentation,,IST GMT+5:30,
1,169,"Evalyn, Lawrence",Bimodal Network Graphs of Crowdfunded Literary Patronage: Two Views of Black Britons Publishing in the Eighteenth Century,"distant reading, subscription publishing, book history, eighteenth century, bimodal networks",English,"English, Europe, 18th Century, cultural analytics, network analysis and graphs theory and application, Book and Print history, History, Literary studies, Digital cultural heritage",Creative Presentation,,AKDT (Alaska / UTC-8),none. I can be flexible presenting outside 9-5 (available from 7am to 7pm AKDT)
1,172,"Martin, Allie",Sampling for Black Life,"sampling, archives, music, African-American, sound",English,"English, North America, 20th Century, Contemporary, digital art production and analysis, public humanities collaborations and methods, African American/Black Studies, Ethnography, Musicology and Sound Studies, Critical making, Digital humanities tools and infrastructures, Digital media, art, literature, history, music, film, and games, Digital public humanities, Humanistic research on digital objects and cultures",Creative Presentation,,EST,
1,189,"Huertas Garay, Gary Alfonso",“Community-Centered Cumbia Digital Archive”,"Cumbia, migration, archives and digital comunities",English,"English, Experimental Humanities, North America, South America, Comparative (2 or more geographical areas), 20th Century, Contemporary, digital archiving and preservation, digital ecologies and digital communities, creation, management, and analysis, public humanities collaborations and methods, Cultural studies, Literary studies, Musicology and Sound Studies, Latin American studies, Latino/a/x/e Studies, Collaborations for Community, Digital cultural heritage, Digital humanities tools and infrastructures, Digital media, art, literature, history, music, film, and games, Digital public humanities, Resource creation, curation, and engagement",Creative Presentation,,Pacific Time (California),
1,191,"Gambill West, Agnes",Resolving Legal Challenges with Crowdsourced Community Archives,crowdsourcing; community archives; AI-generated content; orphan works; virtual reading rooms,English,"English, Experimental Humanities, North America, Contemporary, copyright, licensing, and permissions standards, systems, and processes, crowdsourcing, digital archiving and preservation, Cultural studies, Galleries and Museum studies, Law and legal studies, Library and Information Science, Science, Technology, and Society, Collaborations for Community, Digital cultural heritage, Digital public humanities",Creative Presentation,,?,
1,202,"O’Dowd, Andrew; Petrauskas, Isadora; Chen, Zhonghao",Interwoven Existence,"Ecological AI, Machine Agency, Data Materiality, Post-Performative Design",English,"English, Asia, Europe, 19th Century, 20th Century, Contemporary, digital art production and analysis, physical & minimal computing, Cognitive Sciences and psychology, Communication studies, Design studies, Informatics, Philosophy, Science, Technology, and Society, Computational Creativity, Digital media, art, literature, history, music, film, and games, Environmental humanities and climate justice, Humanistic research on digital objects and cultures, Machine learning, including AI and LLMs and their implications",Creative Presentation,,?,
1,160,"Bustos, Maria; Helton, Aaron",The Voices of Lunfardo,"lunfardo, tango, identity, Argentina","English, Spanish","English, Spanish, postcolonial, decolonial, and anticolonial approaches, Europe, South America, 20th Century, Contemporary, curricular and pedagogical development and analysis, Latin American studies, Hispanic Studies, Modern Languages, Digital cultural heritage, Digital media, art, literature, history, music, film, and games, Multilingualism in digital humanities, Resource creation, curation, and engagement",Creative Presentation,"EDT, CET",Earlier is better since one of us will be in a European Time Zone.,
